cluster,hhid,extid
48,48011,48011-07
20,20010,20010-05
96,96009,96009-04
96,96009,96009-05
96,96009,96009-06
67,67077,67077-02
67,67077,67077-03
26,26013,26013-04
26,26013,26013-05
19,19010,19010-06
05,05052,05052-03
84,84006,84006-02
84,84006,84006-03
84,84006,84006-04
84,84006,84006-05
38,38008,38008-06
38,38008,38008-08
38,38008,38008-10
59,59043,59043-03
59,59043,59043-04
59,59043,59043-05
59,59043,59043-06
79,79023,79023-02
79,79023,79023-03
16,16040,16040-04
16,16040,16040-06
30,30010,30010-07
30,30010,30010-08
27,27045,27045-06
92,92044,92044-07
92,92044,92044-08
92,92044,92044-09
92,92044,92044-10
90,90189,90189-04
90,90189,90189-05
42,42055,42055-03
95,95076,95076-03
95,95076,95076-04
08,08038,08038-03
73,73067,73067-03
73,73067,73067-04
51,51042,51042-03
51,51042,51042-04
29,29065,29065-05
29,29065,29065-06
63,63009,63009-02
63,63009,63009-03
55,55028,55028-03
55,55028,55028-04
55,55028,55028-05
37,37049,37049-07
37,37049,37049-08
37,37049,37049-09
37,37049,37049-10
46,46012,46012-03
11,11028,11028-03
29,29009,29009-03
29,29009,29009-04
12,12012,12012-03
51,51088,51088-06
51,51088,51088-07
70,70008,70008-04
70,70008,70008-05
70,70008,70008-06
70,70008,70008-07
70,70008,70008-09
30,30040,30040-02
78,78007,78007-07
78,78007,78007-08
05,05009,05009-03
05,05009,05009-04
05,05009,05009-05
26,26012,26012-03
26,26012,26012-04
26,26012,26012-05
75,75004,75004-04
57,57034,57034-04
57,57034,57034-08
57,57034,57034-09
57,57034,57034-10
10,10012,10012-05
10,10012,10012-06
10,10012,10012-08
10,10012,10012-09
10,10012,10012-10
64,64010,64010-08
20,20008,20008-05
20,20008,20008-06
20,20008,20008-07
20,20008,20008-09
43,43002,43002-03
43,43002,43002-04
43,43002,43002-05
75,75131,75131-03
75,75131,75131-04
54,54008,54008-05
54,54008,54008-06
15,15057,15057-05
30,30009,30009-03
30,30009,30009-04
30,30009,30009-05
30,30009,30009-07
30,30039,30039-03
30,30039,30039-04
05,05051,05051-03
05,05051,05051-04
11,11029,11029-03
11,11029,11029-04
55,55029,55029-03
55,55029,55029-04
55,55029,55029-05
87,87019,87019-05
87,87019,87019-06
09,09013,09013-03
09,09013,09013-04
09,09013,09013-05
09,09013,09013-06
34,34005,34005-05
34,34005,34005-10
79,79021,79021-03
79,79021,79021-04
79,79021,79021-05
79,79021,79021-06
38,38007,38007-04
38,38007,38007-05
23,23077,23077-03
29,29008,29008-05
29,29008,29008-06
73,73034,73034-05
26,26011,26011-06
26,26011,26011-07
67,67076,67076-05
62,62040,62040-03
62,62040,62040-04
39,39008,39008-05
39,39008,39008-06
68,68008,68008-03
68,68008,68008-04
68,68008,68008-05
83,83009,83009-04
83,83009,83009-05
83,83009,83009-06
59,59044,59044-08
59,59044,59044-09
59,59044,59044-10
59,59044,59044-11
59,59044,59044-12
59,59044,59044-13
59,59044,59044-14
27,27009,27009-03
27,27009,27009-04
64,64009,64009-07
64,64009,64009-08
64,64009,64009-09
64,64009,64009-10
64,64009,64009-11
85,85006,85006-05
10,10011,10011-04
28,28091,28091-04
28,28091,28091-05
69,69009,69009-07
51,51087,51087-04
51,51087,51087-05
34,34087,34087-02
82,82070,82070-04
82,82070,82070-05
82,82070,82070-06
82,82070,82070-07
82,82070,82070-08
29,29063,29063-03
29,29063,29063-04
79,79020,79020-07
79,79020,79020-08
79,79020,79020-09
15,15056,15056-07
15,15056,15056-08
15,15056,15056-09
15,15056,15056-10
95,95106,95106-03
80,80145,80145-02
80,80145,80145-03
80,80145,80145-05
77,77097,77097-02
30,30049,30049-03
30,30049,30049-04
08,08042,08042-03
08,08042,08042-04
08,08042,08042-05
34,34117,34117-03
34,34117,34117-04
34,34117,34117-05
27,27043,27043-03
27,27043,27043-04
26,26010,26010-06
50,50044,50044-05
50,50044,50044-06
50,50044,50044-07
11,11030,11030-06
11,11030,11030-07
11,11030,11030-09
11,11030,11030-10
11,11030,11030-11
44,44009,44009-03
51,51086,51086-03
40,40055,40055-10
40,40055,40055-11
40,40055,40055-12
40,40055,40055-13
16,16055,16055-06
16,16055,16055-09
16,16055,16055-10
12,12015,12015-06
15,15055,15055-05
15,15055,15055-06
72,72009,72009-03
72,72009,72009-04
72,72009,72009-05
72,72009,72009-06
82,82036,82036-03
82,82036,82036-04
55,55093,55093-03
55,55093,55093-04
12,12002,12002-04
12,12002,12002-05
12,12002,12002-06
73,73063,73063-04
73,73063,73063-08
73,73063,73063-09
73,73063,73063-10
88,88479,88479-04
88,88479,88479-05
58,58004,58004-08
72,72008,72008-11
83,83125,83125-04
91,91007,91007-03
91,91007,91007-04
50,50043,50043-05
50,50043,50043-06
50,50043,50043-07
61,61005,61005-04
61,61005,61005-05
61,61005,61005-06
70,70053,70053-05
70,70053,70053-06
70,70053,70053-08
70,70053,70053-09
73,73062,73062-03
73,73062,73062-04
73,73062,73062-05
88,88445,88445-05
88,88445,88445-06
03,03010,03010-03
02,02041,02041-05
03,03009,03009-03
03,03009,03009-04
34,34085,34085-03
78,78005,78005-03
78,78005,78005-04
69,69006,69006-05
69,69006,69006-06
69,69006,69006-07
64,64007,64007-03
64,64007,64007-04
64,64007,64007-05
64,64007,64007-06
64,64007,64007-07
14,14008,14008-06
14,14008,14008-08
81,81007,81007-03
81,81007,81007-04
02,02054,02054-03
02,02054,02054-04
39,39007,39007-04
39,39007,39007-05
39,39007,39007-06
39,39007,39007-08
16,16054,16054-04
16,16054,16054-05
16,16054,16054-06
02,02042,02042-02
02,02042,02042-03
02,02042,02042-04
02,02042,02042-05
88,88444,88444-03
88,88444,88444-04
26,26008,26008-03
26,26008,26008-04
56,56007,56007-03
56,56007,56007-04
50,50041,50041-04
50,50041,50041-05
13,13016,13016-05
13,13016,13016-06
78,78004,78004-03
78,78004,78004-04
78,78004,78004-05
48,48006,48006-03
48,48006,48006-04
41,41007,41007-07
96,96006,96006-05
08,08057,08057-04
08,08007,08007-04
45,45109,45109-03
45,45109,45109-04
24,24048,24048-03
24,24048,24048-04
24,24048,24048-05
24,24007,24007-06
24,24007,24007-07
75,75056,75056-03
75,75056,75056-04
75,75056,75056-05
75,75056,75056-06
75,75056,75056-07
14,14007,14007-08
27,27042,27042-03
27,27042,27042-04
83,83046,83046-03
83,83046,83046-04
73,73060,73060-04
73,73060,73060-07
39,39006,39006-03
39,39006,39006-04
39,39006,39006-05
39,39006,39006-06
83,83007,83007-05
26,26007,26007-03
26,26007,26007-04
72,72007,72007-02
72,72007,72007-03
72,72007,72007-04
72,72007,72007-07
61,61035,61035-05
02,02052,02052-03
02,02052,02052-04
69,69019,69019-04
69,69019,69019-05
69,69019,69019-06
31,31085,31085-03
25,25019,25019-04
07,07046,07046-04
07,07046,07046-05
16,16053,16053-04
16,16053,16053-05
16,16053,16053-06
75,75055,75055-03
75,75055,75055-04
75,75055,75055-05
54,54006,54006-03
54,54006,54006-04
34,34019,34019-03
50,50040,50040-05
50,50040,50040-06
50,50040,50040-07
50,50040,50040-08
50,50040,50040-09
14,14006,14006-03
88,88443,88443-04
88,88443,88443-05
88,88477,88477-04
88,88477,88477-05
88,88477,88477-06
88,88477,88477-07
23,23075,23075-03
23,23075,23075-04
87,87018,87018-02
87,87018,87018-03
90,90152,90152-07
34,34114,34114-02
34,34114,34114-03
44,44007,44007-04
40,40049,40049-03
20,20005,20005-07
20,20005,20005-08
27,27007,27007-04
42,42053,42053-06
42,42053,42053-08
56,56083,56083-02
78,78003,78003-07
78,78003,78003-08
78,78003,78003-09
78,78003,78003-10
78,78003,78003-11
78,78003,78003-13
19,19007,19007-03
19,19007,19007-04
19,19007,19007-05
19,19007,19007-06
19,19007,19007-07
07,07044,07044-03
57,57032,57032-05
60,60049,60049-03
60,60049,60049-04
60,60049,60049-07
60,60049,60049-08
34,34018,34018-03
31,31007,31007-03
31,31007,31007-04
31,31007,31007-05
31,31007,31007-07
44,44006,44006-06
09,09026,09026-03
09,09026,09026-04
05,05007,05007-05
05,05007,05007-06
02,02044,02044-03
02,02044,02044-04
55,55001,55001-03
55,55001,55001-04
68,68007,68007-08
68,68007,68007-09
68,68007,68007-10
09,09015,09015-03
09,09015,09015-04
09,09015,09015-05
09,09015,09015-06
39,39005,39005-06
16,16041,16041-04
16,16041,16041-05
16,16041,16041-06
41,41006,41006-08
41,41006,41006-09
88,88071,88071-03
88,88071,88071-04
05,05049,05049-09
31,31047,31047-04
31,31047,31047-05
61,61034,61034-03
61,61034,61034-04
61,61034,61034-05
61,61034,61034-06
84,84005,84005-03
84,84005,84005-04
59,59045,59045-03
59,59045,59045-04
59,59045,59045-05
59,59045,59045-06
75,75007,75007-04
75,75007,75007-05
75,75007,75007-06
75,75007,75007-07
75,75007,75007-09
87,87002,87002-05
87,87002,87002-06
48,48041,48041-04
24,24005,24005-04
24,24005,24005-05
85,85004,85004-05
85,85004,85004-07
56,56122,56122-06
56,56122,56122-07
56,56122,56122-08
63,63007,63007-06
07,07045,07045-05
19,19006,19006-02
27,27006,27006-05
90,90151,90151-04
92,92042,92042-08
26,26006,26006-06
26,26006,26006-07
26,26006,26006-08
26,26006,26006-09
29,29007,29007-03
29,29007,29007-04
29,29007,29007-05
28,28088,28088-04
28,28088,28088-05
42,42005,42005-03
45,45111,45111-03
45,45111,45111-04
51,51085,51085-05
51,51085,51085-06
60,60048,60048-08
60,60048,60048-09
59,59046,59046-03
30,30006,30006-05
30,30006,30006-06
30,30006,30006-07
09,09016,09016-04
09,09016,09016-05
09,09016,09016-06
48,48004,48004-05
48,48004,48004-06
48,48004,48004-07
48,48004,48004-08
23,23106,23106-03
23,23106,23106-04
23,23106,23106-05
23,23106,23106-06
38,38005,38005-05
38,38005,38005-06
18,18039,18039-03
18,18039,18039-04
18,18039,18039-06
55,55002,55002-07
55,55002,55002-08
55,55002,55002-09
10,10075,10075-07
10,10075,10075-11
10,10075,10075-12
44,44005,44005-07
44,44005,44005-08
44,44005,44005-09
70,70047,70047-04
70,70047,70047-06
70,70047,70047-07
64,64005,64005-03
64,64005,64005-04
14,14004,14004-07
57,57031,57031-05
57,57031,57031-06
57,57031,57031-07
57,57031,57031-09
05,05006,05006-03
05,05006,05006-04
05,05006,05006-07
43,43072,43072-03
43,43072,43072-04
43,43072,43072-05
84,84004,84004-03
84,84004,84004-04
84,84004,84004-05
91,91003,91003-04
91,91003,91003-05
91,91003,91003-07
57,57005,57005-06
57,57005,57005-07
63,63006,63006-03
63,63006,63006-04
61,61033,61033-04
61,61033,61033-05
39,39004,39004-05
39,39004,39004-06
39,39004,39004-07
40,40001,40001-03
40,40001,40001-04
40,40001,40001-05
40,40001,40001-06
80,80074,80074-03
80,80074,80074-04
53,53037,53037-02
75,75005,75005-04
75,75005,75005-06
03,03093,03093-03
03,03093,03093-04
03,03093,03093-09
03,03093,03093-10
31,31046,31046-03
31,31046,31046-05
37,37044,37044-03
85,85038,85038-03
77,77096,77096-03
96,96004,96004-03
05,05048,05048-04
64,64004,64004-03
64,64004,64004-04
02,02015,02015-03
31,31006,31006-04
79,79006,79006-07
68,68006,68006-05
68,68006,68006-06
68,68006,68006-07
62,62038,62038-03
62,62038,62038-04
62,62038,62038-05
62,62038,62038-06
23,23105,23105-03
23,23105,23105-04
42,42051,42051-03
83,83120,83120-04
26,26005,26005-04
07,07001,07001-03
19,19004,19004-04
19,19004,19004-06
19,19004,19004-07
19,19004,19004-08
19,19004,19004-09
27,27005,27005-06
27,27005,27005-07
11,11043,11043-02
87,87016,87016-03
87,87016,87016-04
87,87016,87016-05
31,31083,31083-03
63,63005,63005-06
70,70046,70046-06
22,22038,22038-02
33,33040,33040-03
33,33040,33040-04
21,21023,21023-04
21,21023,21023-06
44,44004,44004-06
10,10072,10072-08
10,10072,10072-09
10,10072,10072-10
10,10072,10072-11
90,90149,90149-04
16,16043,16043-03
05,05005,05005-06
05,05005,05005-08
73,73058,73058-03
73,73058,73058-04
73,73058,73058-05
73,73058,73058-07
73,73058,73058-08
29,29114,29114-04
85,85037,85037-04
31,31005,31005-05
31,31005,31005-06
31,31005,31005-07
31,31005,31005-08
43,43073,43073-07
43,43073,43073-08
43,43073,43073-09
43,43073,43073-10
57,57004,57004-07
40,40016,40016-04
79,79007,79007-03
79,79007,79007-04
82,82027,82027-03
82,82027,82027-04
82,82027,82027-05
15,15052,15052-07
15,15052,15052-08
15,15052,15052-09
15,15052,15052-10
38,38003,38003-04
38,38003,38003-05
64,64003,64003-05
64,64003,64003-06
64,64003,64003-07
64,64003,64003-08
64,64003,64003-09
64,64003,64003-11
93,93033,93033-07
93,93033,93033-08
93,93033,93033-09
93,93033,93033-10
87,87011,87011-03
02,02008,02008-05
02,02008,02008-06
80,80073,80073-08
80,80073,80073-09
80,80073,80073-10
13,13019,13019-06
13,13019,13019-07
10,10071,10071-03
10,10071,10071-04
80,80004,80004-06
80,80004,80004-07
80,80004,80004-08
63,63004,63004-03
12,12106,12106-03
12,12106,12106-04
12,12106,12106-05
77,77094,77094-04
37,37042,37042-04
37,37042,37042-05
29,29058,29058-05
29,29058,29058-06
29,29058,29058-07
41,41004,41004-02
41,41004,41004-03
41,41004,41004-05
20,20003,20003-09
34,34081,34081-06
34,34081,34081-07
34,34081,34081-08
83,83119,83119-06
14,14003,14003-02
14,14003,14003-03
14,14003,14003-07
75,75015,75015-02
87,87012,87012-04
31,31004,31004-03
31,31004,31004-04
56,56081,56081-06
05,05046,05046-04
05,05046,05046-05
12,12092,12092-03
51,51082,51082-06
51,51082,51082-07
51,51082,51082-08
75,75126,75126-05
75,75126,75126-06
75,75126,75126-07
15,15051,15051-03
15,15051,15051-04
69,69005,69005-06
69,69005,69005-07
56,56004,56004-08
92,92039,92039-04
92,92039,92039-05
62,62036,62036-03
62,62036,62036-04
62,62036,62036-05
62,62036,62036-06
62,62036,62036-07
62,62036,62036-08
55,55098,55098-03
55,55098,55098-04
55,55098,55098-05
73,73057,73057-02
81,81003,81003-04
81,81003,81003-05
48,48036,48036-04
48,48036,48036-05
48,48036,48036-06
13,13020,13020-03
13,13020,13020-04
42,42049,42049-09
42,42049,42049-10
42,42049,42049-11
42,42049,42049-13
42,42049,42049-14
46,46006,46006-03
46,46006,46006-05
46,46006,46006-06
46,46006,46006-07
81,81028,81028-04
81,81028,81028-05
81,81028,81028-06
81,81028,81028-07
15,15050,15050-02
15,15050,15050-03
07,07006,07006-03
07,07006,07006-04
63,63003,63003-09
63,63003,63003-10
63,63003,63003-11
70,70044,70044-04
70,70044,70044-05
31,31003,31003-07
31,31003,31003-08
31,31003,31003-09
31,31003,31003-10
23,23070,23070-03
12,12094,12094-03
27,27003,27003-06
27,27003,27003-07
46,46005,46005-04
46,46005,46005-05
46,46005,46005-06
46,46005,46005-07
46,46005,46005-08
15,15049,15049-04
07,07004,07004-05
07,07004,07004-06
07,07004,07004-07
75,75054,75054-03
75,75054,75054-04
75,75054,75054-05
75,75054,75054-06
28,28086,28086-04
83,83118,83118-02
83,83118,83118-04
83,83118,83118-06
78,78002,78002-04
78,78002,78002-05
90,90146,90146-04
90,90146,90146-05
11,11042,11042-05
33,33037,33037-04
78,78001,78001-04
78,78001,78001-05
84,84002,84002-03
84,84002,84002-04
84,84002,84002-05
92,92038,92038-05
92,92038,92038-06
37,37039,37039-03
37,37039,37039-04
37,37039,37039-05
37,37039,37039-06
37,37039,37039-07
18,18037,18037-02
18,18037,18037-03
18,18037,18037-04
05,05044,05044-04
48,48003,48003-03
51,51075,51075-04
31,31081,31081-03
38,38002,38002-03
38,38002,38002-04
55,55099,55099-08
55,55099,55099-09
55,55099,55099-10
55,55099,55099-11
55,55099,55099-12
55,55099,55099-13
51,51074,51074-04
51,51074,51074-05
51,51074,51074-06
92,92037,92037-04
92,92037,92037-05
57,57002,57002-05
03,03092,03092-03
03,03092,03092-04
73,73056,73056-03
42,42003,42003-06
42,42003,42003-07
42,42003,42003-08
10,10001,10001-03
48,48002,48002-03
48,48002,48002-04
48,48002,48002-05
03,03001,03001-04
03,03001,03001-05
03,03001,03001-06
02,02006,02006-03
02,02006,02006-04
80,80036,80036-05
80,80036,80036-06
80,80036,80036-07
11,11040,11040-07
21,21022,21022-03
21,21022,21022-04
17,17040,17040-06
56,56118,56118-04
56,56118,56118-06
80,80002,80002-04
80,80002,80002-05
80,80002,80002-06
80,80002,80002-07
77,77092,77092-03
77,77092,77092-04
18,18036,18036-03
18,18036,18036-04
18,18036,18036-05
18,18036,18036-06
60,60002,60002-02
60,60002,60002-03
64,64002,64002-08
62,62035,62035-05
62,62035,62035-07
62,62035,62035-08
62,62035,62035-10
62,62035,62035-11
62,62035,62035-12
10,10002,10002-05
10,10002,10002-06
10,10002,10002-07
10,10002,10002-08
28,28084,28084-03
14,14002,14002-03
14,14002,14002-04
68,68002,68002-04
68,68002,68002-05
68,68002,68002-06
75,75089,75089-03
75,75089,75089-04
75,75089,75089-05
75,75089,75089-06
20,20001,20001-04
20,20001,20001-05
20,20001,20001-06
20,20001,20001-07
88,88032,88032-04
88,88032,88032-05
31,31080,31080-06
31,31080,31080-07
59,59016,59016-04
59,59016,59016-05
40,40048,40048-04
42,42047,42047-02
42,42047,42047-03
15,15048,15048-02
15,15048,15048-03
27,27038,27038-03
27,27038,27038-04
10,10070,10070-04
62,62034,62034-03
62,62034,62034-04
62,62034,62034-05
27,27002,27002-07
27,27002,27002-08
27,27002,27002-09
27,27002,27002-10
48,48001,48001-03
48,48001,48001-04
48,48001,48001-05
90,90218,90218-04
90,90218,90218-05
90,90218,90218-06
09,09022,09022-03
09,09022,09022-04
09,09022,09022-05
63,63002,63002-04
51,51080,51080-02
51,51080,51080-03
51,51080,51080-04
51,51080,51080-05
10,10069,10069-02
02,02048,02048-03
59,59049,59049-04
59,59049,59049-05
59,59049,59049-07
56,56080,56080-06
88,88031,88031-04
85,85036,85036-04
85,85036,85036-05
85,85036,85036-07
21,21024,21024-08
21,21024,21024-09
21,21024,21024-10
21,21024,21024-11
21,21024,21024-12
21,21024,21024-13
51,51079,51079-05
51,51079,51079-06
31,31002,31002-05
22,22040,22040-04
39,39002,39002-04
39,39002,39002-05
39,39002,39002-06
39,39002,39002-07
39,39002,39002-08
07,07043,07043-03
07,07043,07043-05
14,14001,14001-08
79,79016,79016-04
79,79016,79016-05
80,80137,80137-06
80,80137,80137-07
29,29028,29028-05
03,03091,03091-02
56,56079,56079-03
93,93031,93031-03
93,93031,93031-04
93,93031,93031-05
44,44002,44002-04
13,13021,13021-03
79,79003,79003-05
79,79003,79003-06
34,34078,34078-05
34,34078,34078-06
46,46002,46002-03
46,46002,46002-04
27,27001,27001-07
31,31001,31001-03
27,27037,27037-06
29,29055,29055-08
29,29055,29055-09
29,29055,29055-10
29,29055,29055-11
29,29055,29055-12
95,95100,95100-05
23,23068,23068-03
23,23068,23068-04
69,69080,69080-03
69,69080,69080-04
69,69080,69080-05
53,53034,53034-03
53,53034,53034-05
67,67069,67069-03
67,67069,67069-06
83,83001,83001-03
83,83001,83001-04
83,83001,83001-05
83,83001,83001-06
